gill_net_pair,treatment,Total biomass BPUE,Non-finfish biomass BPUE,Finfish biomass BPUE,Elasmobranch biomass BPUE,Humboldt squid biomass BPUE,turtle_biomass_bpue,Loggerhead turtle number BPUE,Total target fish biomass CPUE,Total primary target fish biomass CPUE,Halibut target biomass CPUE,Grouper target biomass CPUE,Total secondary target fish biomass CPUE,Market value of total target fish value MVPUE,Haulback time per 100 m net
11,Illuminated,36.095062429999999,31.31805576,4.777006675,0,0,31.31805576,0.95540133490797619,3.105054338,0,0,0,3.105054338,3.3677897055506163,5.3475935828877006
12,Illuminated,42.209310090000002,40.6064249,1.6028851930000001,0,0,40.6064249,1.0685901288986841,0.53429506400000004,0.53429506444934205,0,0.53429506400000004,0,2.6714753222467102,6.8322981366459627
13,Illuminated,39.76988961,35.2887384,4.4811512029999996,0.56000000000000005,17.924499999999998,16.804238399999999,0.56014128007841979,0,0,0,0,0,0,9.8265895953757223
14,Illuminated,7.8532195859999998,5.6093999999999999,2.2438195859999999,0,5.6093999999999999,0,0,0,0,0,0,0,0,6.0301507537688446
15,Illuminated,5.7623049220000002,5.2385000000000002,0.52380492199999995,0,5.2385000000000002,0,0,0,0,0,0,0,0,5.8823529411764701
16,Illuminated,4.6855002570000002,0,4.6855002570000002,0,0,0,0,2.8633612679999998,1.0411999999999999,1.0411999999999999,0,1.8221612679999999,4.0347363321499099,3.1055900621118009
17,Illuminated,1.053632838,0,1.053632838,0,0,0,0,0,0,0,0,0,0,2.8901734104046244
18,Illuminated,1.3172659410000001,0,1.3172659410000001,0,0,0,0,0.439088647,0,0,0,0.439088647,0.21954432355954501,3.0150753768844223
19,Illuminated,0.47358762399999998,0,0.47358762399999998,0,0,0,0,0.47358762399999998,0.47358762357677053,0,0.47358762399999998,0,2.3679381178838526,2.1390374331550799
20,Illuminated,1.0221827859999999,0,1.0221827859999999,0,0,0,0,0,0,0,0,0,0,3.1055900621118009
21,Illuminated,3.0849290310000002,0,3.0849290310000002,0,0,0,0,0.56089999999999995,0.56090000000000007,0.56089999999999995,0,0,1.6826885623919108,4.6242774566473992
22,Illuminated,1.4245014250000001,0,1.4245014250000001,0,0,0,0,8.5470085470000008,0.56979999999999997,0.56979999999999997,0,7.977208547,6.3247863247863254,5.1282051282051286
23,Illuminated,0,0,0,0,0,0,0,4.8364153630000004,3.6983999999999999,3.6983999999999999,0,1.1380153630000001,12.460881934566144,2.1052631578947367
24,Illuminated,1.7377704410000001,0,1.7377704410000001,0,0,0,0,0,0,0,0,0,0,2.6143790849673203
25,Illuminated,9.8440597630000006,0,9.8440597630000006,0,0,0,0,10.11750587,10.117500000000001,10.1175,0,5.8699999999999997E-6,30.352517603092977,7.5144508670520231
26,Illuminated,13.4180838,0,13.4180838,0,0,0,0,13.8973,13.8973,13.8973,0,0,41.691903224732933,8.5427135678391952
27,Illuminated,14.584346139999999,0,14.584346139999999,0,0,0,0,12.882839089999999,7.0490519202722401,4.8613999999999997,2.18765192,5.8337871699999999,34.175984443364115,13.90374331550802
28,Illuminated,14.34099704,0,14.34099704,0,0,0,0,12.2923075,12.292307498943122,9.0729000000000006,3.2194074989999999,0,43.315664531234752,13.043478260869565
