"gillnet_pair <- rep(turtle_data[[1]], 2)",treatment <- ...,metric,value
15,Control,Finfish biomass BPUE,2.9299803579999999
16,Control,Finfish biomass BPUE,9.0172106729999992
17,Control,Finfish biomass BPUE,0.80969838699999996
18,Control,Finfish biomass BPUE,0.45753503000000001
19,Control,Finfish biomass BPUE,0.95332671300000005
20,Control,Finfish biomass BPUE,1.6492578339999999
21,Control,Finfish biomass BPUE,15.00266251
22,Control,Finfish biomass BPUE,3.2841970819999999
23,Control,Finfish biomass BPUE,0.56956618000000003
24,Control,Finfish biomass BPUE,0.326904217
25,Control,Finfish biomass BPUE,10.192285010000001
26,Control,Finfish biomass BPUE,4.0911996589999999
27,Control,Finfish biomass BPUE,74.693962240000005
28,Control,Finfish biomass BPUE,19.392372330000001
1,Illuminated,Finfish biomass BPUE,6.0026678520000001
2,Illuminated,Finfish biomass BPUE,4.8080936239999996
3,Illuminated,Finfish biomass BPUE,4.6740726920000002
4,Illuminated,Finfish biomass BPUE,6.0637961889999996
5,Illuminated,Finfish biomass BPUE,1.600711427
6,Illuminated,Finfish biomass BPUE,6.2015124630000003
7,Illuminated,Finfish biomass BPUE,3.6970474969999998
8,Illuminated,Finfish biomass BPUE,9.0064734029999993
9,Illuminated,Finfish biomass BPUE,1.035300992
10,Illuminated,Finfish biomass BPUE,6.1397898580000003
11,Illuminated,Finfish biomass BPUE,4.777006675
12,Illuminated,Finfish biomass BPUE,1.6028851930000001
13,Illuminated,Finfish biomass BPUE,4.4811512029999996
14,Illuminated,Finfish biomass BPUE,2.2438195859999999
15,Illuminated,Finfish biomass BPUE,0.52380492199999995
16,Illuminated,Finfish biomass BPUE,4.6855002570000002
17,Illuminated,Finfish biomass BPUE,1.053632838
18,Illuminated,Finfish biomass BPUE,1.3172659410000001
19,Illuminated,Finfish biomass BPUE,0.47358762399999998
20,Illuminated,Finfish biomass BPUE,1.0221827859999999
21,Illuminated,Finfish biomass BPUE,3.0849290310000002
22,Illuminated,Finfish biomass BPUE,1.4245014250000001
23,Illuminated,Finfish biomass BPUE,0
24,Illuminated,Finfish biomass BPUE,1.7377704410000001
25,Illuminated,Finfish biomass BPUE,9.8440597630000006
26,Illuminated,Finfish biomass BPUE,13.4180838
27,Illuminated,Finfish biomass BPUE,14.584346139999999
28,Illuminated,Finfish biomass BPUE,14.34099704
1,Control,Elasmobranch biomass BPUE,0
2,Control,Elasmobranch biomass BPUE,5.758
3,Control,Elasmobranch biomass BPUE,0
4,Control,Elasmobranch biomass BPUE,0
5,Control,Elasmobranch biomass BPUE,0
6,Control,Elasmobranch biomass BPUE,22.696999999999999
7,Control,Elasmobranch biomass BPUE,5.9169999999999998
8,Control,Elasmobranch biomass BPUE,0.51400000000000001
9,Control,Elasmobranch biomass BPUE,0.53400000000000003
10,Control,Elasmobranch biomass BPUE,2.2959999999999998
11,Control,Elasmobranch biomass BPUE,2.6619999999999999
12,Control,Elasmobranch biomass BPUE,0
13,Control,Elasmobranch biomass BPUE,0
14,Control,Elasmobranch biomass BPUE,0.59
15,Control,Elasmobranch biomass BPUE,0
16,Control,Elasmobranch biomass BPUE,0
17,Control,Elasmobranch biomass BPUE,20.512
18,Control,Elasmobranch biomass BPUE,20.132000000000001
19,Control,Elasmobranch biomass BPUE,15.253
20,Control,Elasmobranch biomass BPUE,0
21,Control,Elasmobranch biomass BPUE,7.7789999999999999
22,Control,Elasmobranch biomass BPUE,3.2839999999999998
23,Control,Elasmobranch biomass BPUE,0
24,Control,Elasmobranch biomass BPUE,0
25,Control,Elasmobranch biomass BPUE,0
26,Control,Elasmobranch biomass BPUE,0
27,Control,Elasmobranch biomass BPUE,0
28,Control,Elasmobranch biomass BPUE,6.4640000000000004
1,Illuminated,Elasmobranch biomass BPUE,0
2,Illuminated,Elasmobranch biomass BPUE,0
3,Illuminated,Elasmobranch biomass BPUE,0
4,Illuminated,Elasmobranch biomass BPUE,0
5,Illuminated,Elasmobranch biomass BPUE,3.7349999999999999
6,Illuminated,Elasmobranch biomass BPUE,0.47699999999999998
