gillnet_pair,animal_type,exp_unit,bpue
14,haulback_time,control,12.82
15,haulback_time,control,8.42
16,haulback_time,control,29.41
17,haulback_time,control,7.51
18,haulback_time,control,5.13
19,haulback_time,control,11.05
20,haulback_time,control,6.54
21,haulback_time,control,18.5
22,haulback_time,control,4.02
23,haulback_time,control,3.21
24,haulback_time,control,2.48
25,haulback_time,control,12.72
26,haulback_time,control,8.21
27,haulback_time,control,41.05
28,haulback_time,control,20.26
1,haulback_time,illuminated,2.31
2,haulback_time,illuminated,3.02
3,haulback_time,illuminated,2.14
4,haulback_time,illuminated,3.11
5,haulback_time,illuminated,4.05
6,haulback_time,illuminated,5.64
7,haulback_time,illuminated,7.89
8,haulback_time,illuminated,9.15
9,haulback_time,illuminated,10.4
10,haulback_time,illuminated,3.02
11,haulback_time,illuminated,5.35
12,haulback_time,illuminated,6.83
13,haulback_time,illuminated,9.83
14,haulback_time,illuminated,6.03
15,haulback_time,illuminated,5.88
16,haulback_time,illuminated,3.11
17,haulback_time,illuminated,2.89
18,haulback_time,illuminated,3.02
19,haulback_time,illuminated,2.14
20,haulback_time,illuminated,3.11
21,haulback_time,illuminated,4.62
22,haulback_time,illuminated,5.13
23,haulback_time,illuminated,2.11
24,haulback_time,illuminated,2.61
25,haulback_time,illuminated,7.51
26,haulback_time,illuminated,8.54
27,haulback_time,illuminated,13.9
28,haulback_time,illuminated,13.04
