gillnet_pair,animal_type,exp_unit,bpue
17,elasmobranch_bpue,control,20.51
18,elasmobranch_bpue,control,20.13
19,elasmobranch_bpue,control,15.25
20,elasmobranch_bpue,control,0
21,elasmobranch_bpue,control,7.78
22,elasmobranch_bpue,control,3.28
23,elasmobranch_bpue,control,0
24,elasmobranch_bpue,control,0
25,elasmobranch_bpue,control,0
26,elasmobranch_bpue,control,0
27,elasmobranch_bpue,control,0
28,elasmobranch_bpue,control,6.46
1,elasmobranch_bpue,illuminated,0
2,elasmobranch_bpue,illuminated,0
3,elasmobranch_bpue,illuminated,0
4,elasmobranch_bpue,illuminated,0
5,elasmobranch_bpue,illuminated,3.74
6,elasmobranch_bpue,illuminated,0.48
7,elasmobranch_bpue,illuminated,0
8,elasmobranch_bpue,illuminated,0
9,elasmobranch_bpue,illuminated,0.52
10,elasmobranch_bpue,illuminated,0
11,elasmobranch_bpue,illuminated,0
12,elasmobranch_bpue,illuminated,0
13,elasmobranch_bpue,illuminated,0.56
14,elasmobranch_bpue,illuminated,0
15,elasmobranch_bpue,illuminated,0
16,elasmobranch_bpue,illuminated,0
17,elasmobranch_bpue,illuminated,0
18,elasmobranch_bpue,illuminated,0
19,elasmobranch_bpue,illuminated,0
20,elasmobranch_bpue,illuminated,0
21,elasmobranch_bpue,illuminated,0
22,elasmobranch_bpue,illuminated,0
23,elasmobranch_bpue,illuminated,0
24,elasmobranch_bpue,illuminated,0
25,elasmobranch_bpue,illuminated,0
26,elasmobranch_bpue,illuminated,0
27,elasmobranch_bpue,illuminated,0
28,elasmobranch_bpue,illuminated,0
1,humboldt_squid_bpue,control,0
2,humboldt_squid_bpue,control,0
3,humboldt_squid_bpue,control,0
4,humboldt_squid_bpue,control,0
5,humboldt_squid_bpue,control,34.9
6,humboldt_squid_bpue,control,2.67
7,humboldt_squid_bpue,control,0
8,humboldt_squid_bpue,control,0
9,humboldt_squid_bpue,control,21.37
10,humboldt_squid_bpue,control,8.27
11,humboldt_squid_bpue,control,0
12,humboldt_squid_bpue,control,0
13,humboldt_squid_bpue,control,42.31
14,humboldt_squid_bpue,control,76.68
15,humboldt_squid_bpue,control,22.46
16,humboldt_squid_bpue,control,3.95
17,humboldt_squid_bpue,control,0
18,humboldt_squid_bpue,control,0
19,humboldt_squid_bpue,control,0
20,humboldt_squid_bpue,control,0
21,humboldt_squid_bpue,control,0
22,humboldt_squid_bpue,control,0
23,humboldt_squid_bpue,control,0
24,humboldt_squid_bpue,control,0
25,humboldt_squid_bpue,control,0
26,humboldt_squid_bpue,control,0
27,humboldt_squid_bpue,control,0
28,humboldt_squid_bpue,control,0
1,humboldt_squid_bpue,illuminated,0
2,humboldt_squid_bpue,illuminated,0
3,humboldt_squid_bpue,illuminated,0
4,humboldt_squid_bpue,illuminated,0
5,humboldt_squid_bpue,illuminated,0
6,humboldt_squid_bpue,illuminated,8.59
7,humboldt_squid_bpue,illuminated,0
8,humboldt_squid_bpue,illuminated,0
9,humboldt_squid_bpue,illuminated,2.59
10,humboldt_squid_bpue,illuminated,0
11,humboldt_squid_bpue,illuminated,0
12,humboldt_squid_bpue,illuminated,0
13,humboldt_squid_bpue,illuminated,17.92
14,humboldt_squid_bpue,illuminated,5.61
15,humboldt_squid_bpue,illuminated,5.24
16,humboldt_squid_bpue,illuminated,0
17,humboldt_squid_bpue,illuminated,0
18,humboldt_squid_bpue,illuminated,0
19,humboldt_squid_bpue,illuminated,0
20,humboldt_squid_bpue,illuminated,0
21,humboldt_squid_bpue,illuminated,0
22,humboldt_squid_bpue,illuminated,0
23,humboldt_squid_bpue,illuminated,0
24,humboldt_squid_bpue,illuminated,0
25,humboldt_squid_bpue,illuminated,0
26,humboldt_squid_bpue,illuminated,0
27,humboldt_squid_bpue,illuminated,0
28,humboldt_squid_bpue,illuminated,0
1,loggerhead_biomass_bpue,control,0
2,loggerhead_biomass_bpue,control,0
3,loggerhead_biomass_bpue,control,68.15
4,loggerhead_biomass_bpue,control,27.9
5,loggerhead_biomass_bpue,control,0
6,loggerhead_biomass_bpue,control,0
7,loggerhead_biomass_bpue,control,0
8,loggerhead_biomass_bpue,control,33.93
9,loggerhead_biomass_bpue,control,0
10,loggerhead_biomass_bpue,control,31.94
11,loggerhead_biomass_bpue,control,0
12,loggerhead_biomass_bpue,control,0
13,loggerhead_biomass_bpue,control,39.16
14,loggerhead_biomass_bpue,control,0
15,loggerhead_biomass_bpue,control,0
16,loggerhead_biomass_bpue,control,53.54
17,loggerhead_biomass_bpue,control,18.12
18,loggerhead_biomass_bpue,control,0
19,loggerhead_biomass_bpue,control,31.99
20,loggerhead_biomass_bpue,control,18.45
21,loggerhead_biomass_bpue,control,0
22,loggerhead_biomass_bpue,control,0
23,loggerhead_biomass_bpue,control,0
24,loggerhead_biomass_bpue,control,0
25,loggerhead_biomass_bpue,control,0
26,loggerhead_biomass_bpue,control,0
27,loggerhead_biomass_bpue,control,0
28,loggerhead_biomass_bpue,control,0
1,loggerhead_biomass_bpue,illuminated,0
2,loggerhead_biomass_bpue,illuminated,0
3,loggerhead_biomass_bpue,illuminated,0
4,loggerhead_biomass_bpue,illuminated,15.31
5,loggerhead_biomass_bpue,illuminated,21.34
6,loggerhead_biomass_bpue,illuminated,0
7,loggerhead_biomass_bpue,illuminated,16.64
8,loggerhead_biomass_bpue,illuminated,0
9,loggerhead_biomass_bpue,illuminated,17.37
10,loggerhead_biomass_bpue,illuminated,0
11,loggerhead_biomass_bpue,illuminated,31.32
12,loggerhead_biomass_bpue,illuminated,40.61
13,loggerhead_biomass_bpue,illuminated,16.8
14,loggerhead_biomass_bpue,illuminated,0
15,loggerhead_biomass_bpue,illuminated,0
16,loggerhead_biomass_bpue,illuminated,0
17,loggerhead_biomass_bpue,illuminated,0
18,loggerhead_biomass_bpue,illuminated,0
19,loggerhead_biomass_bpue,illuminated,0
20,loggerhead_biomass_bpue,illuminated,0
21,loggerhead_biomass_bpue,illuminated,0
22,loggerhead_biomass_bpue,illuminated,0
23,loggerhead_biomass_bpue,illuminated,0
24,loggerhead_biomass_bpue,illuminated,0
25,loggerhead_biomass_bpue,illuminated,0
26,loggerhead_biomass_bpue,illuminated,0
27,loggerhead_biomass_bpue,illuminated,0
28,loggerhead_biomass_bpue,illuminated,0
1,loggerhead_number_bpue,control,0
2,loggerhead_number_bpue,control,0
3,loggerhead_number_bpue,control,1.963457867
4,loggerhead_number_bpue,control,0.831427978
5,loggerhead_number_bpue,control,0
6,loggerhead_number_bpue,control,0
7,loggerhead_number_bpue,control,0
8,loggerhead_number_bpue,control,1.0280574
9,loggerhead_number_bpue,control,0
10,loggerhead_number_bpue,control,0.918484501
11,loggerhead_number_bpue,control,0
12,loggerhead_number_bpue,control,0
13,loggerhead_number_bpue,control,1.159289613
14,loggerhead_number_bpue,control,0
15,loggerhead_number_bpue,control,0
16,loggerhead_number_bpue,control,1.690736175
17,loggerhead_number_bpue,control,0.539798925
18,loggerhead_number_bpue,control,0
19,loggerhead_number_bpue,control,0.953326713
20,loggerhead_number_bpue,control,0.549752611
21,loggerhead_number_bpue,control,0
22,loggerhead_number_bpue,control,0
23,loggerhead_number_bpue,control,0
24,loggerhead_number_bpue,control,0
25,loggerhead_number_bpue,control,0
26,loggerhead_number_bpue,control,0
27,loggerhead_number_bpue,control,0
28,loggerhead_number_bpue,control,0
1,loggerhead_number_bpue,illuminated,0
2,loggerhead_number_bpue,illuminated,0
3,loggerhead_number_bpue,illuminated,0
4,loggerhead_number_bpue,illuminated,0.757974524
5,loggerhead_number_bpue,illuminated,0.533570476
6,loggerhead_number_bpue,illuminated,0
